Name MC MP
Bitcoin 1,128,606,031,400 55%
Ethereum 361,438,286,573 17%
Tether 112,235,476,344 5%
BNB 75,163,996,598 3%
Solana 64,270,341,323 3%
USDC 33,724,815,853 1%
XRP 24,344,215,514 1%
Toncoin 18,888,143,403 0%
Dogecoin 15,924,658,119 0%
Cardano 13,099,444,184 0%
TRON 11,326,849,953 0%
Avalanche 10,432,409,939 0%
"Shiba Inu" 9,684,583,396 0%
Polkadot 8,921,389,695 0%
Chainlink 7,749,942,802 0%
"Bitcoin Cash" 6,503,039,404 0%
"UNUS SED LEO" 5,352,928,184 0%
Dai 5,347,065,547 0%
"NEAR Protocol" 5,139,475,726 0%
Polygon 4,913,833,134 0%
Litecoin 4,806,225,913 0%
Uniswap 4,774,204,742 0%
Kaspa 4,033,291,600 0%
Pepe 3,855,990,200 0%
"Internet Computer" 3,466,926,818 0%
"Ethereum Classic" 3,045,657,185 0%
"Artificial Superintelligence Alliance" 2,999,926,105 0%
Monero 2,851,007,518 0%
Aptos 2,664,948,273 0%
Render 2,618,561,536 0%
Stellar 2,600,518,470 0%
Hedera 2,433,699,046 0%
Cosmos 2,355,123,325 0%
Cronos 2,277,141,573 0%
OKB 2,240,687,453 0%
Arbitrum 2,208,504,851 0%
Filecoin 2,178,921,109 0%
Maker 2,139,984,260 0%
Mantle 2,117,138,168 0%
Stacks 2,062,244,956 0%
VeChain 1,931,913,081 0%
Immutable 1,920,166,756 0%
"First Digital USD" 1,916,973,984 0%
dogwifhat 1,836,464,638 0%
Injective 1,813,157,065 0%
"The Graph" 1,739,818,756 0%
Sui 1,705,912,595 0%
Optimism 1,610,934,681 0%
Bittensor 1,556,814,689 0%
Notcoin 1,518,485,008 0%
Bonk 1,515,723,047 0%
Arweave 1,500,727,511 0%
"Bitget Token" 1,430,859,943 0%
"Lido DAO" 1,391,440,944 0%
FLOKI 1,381,592,316 0%
Ondo 1,363,941,823 0%
"Theta Network" 1,317,558,385 0%
"Brett (Based)" 1,212,636,295 0%
Fantom 1,214,950,245 0%
Aave 1,204,608,758 0%
THORChain 1,165,871,242 0%
JasmyCoin 1,160,844,199 0%
Algorand 1,102,163,447 0%
Celestia 1,044,154,858 0%
"Pyth Network" 1,030,837,083 0%
Jupiter 1,017,837,642 0%
Core 941,592,094 0%
MultiversX 915,098,265 0%
Flare 907,324,863 0%
"Akash Network" 892,410,651 0%
Quant 880,000,365 0%
"KuCoin Token" 869,095,575 0%
Sei 849,300,550 0%
Starknet 809,552,763 0%
Flow 800,910,496 0%
"Axie Infinity" 777,171,891 0%
"Ethereum Name Service" 772,181,755 0%
EOS 773,560,645 0%
"dYdX (Native)" 759,168,460 0%
MANTRA 751,486,620 0%
"BitTorrent [New]" 750,644,618 0%
USDD 739,306,179 0%
Tezos 719,575,451 0%
Beam 713,874,908 0%
"Bitcoin SV" 714,267,272 0%
Gala 708,475,485 0%
Ethena 692,530,586 0%
Neo 689,705,805 0%
"The Sandbox" 681,697,463 0%
GateToken 649,166,181 0%
Gnosis 641,906,176 0%
ORDI 625,214,852 0%
Pendle 597,903,160 0%
Chiliz 594,208,962 0%
Decentraland 589,984,833 0%
Safe 586,717,271 0%
Nexo 588,475,326 0%
"Tether Gold" 589,696,339 0%
Ronin 586,022,203 0%
zkSync 581,420,628 0%
